Domaine,Nom,Type de démarche,Commune,Ce qu ils proposent,Public concerné,Référent,Téléphone,Email,Site,Adresse,Horaires,Où envoyer,Comment,Particularité,Délai,Mis à jour,Notes
Démarches CPAS,Aide Médicale Urgente (AMU) — CPAS d'Anderlecht,Aide Médicale Urgente (AMU),Anderlecht,,,,,,,,,À compléter.,"À compléter : attestation du médecin, pièces, circuit interne.",À compléter : ce qui diffère des autres CPAS.,À compléter,,
Démarches CPAS,Aide Médicale Urgente (AMU) — CPAS de la Ville de Bruxelles,Aide Médicale Urgente (AMU),Bruxelles-Ville,,,,,,,,,À compléter.,"À compléter : attestation du médecin, pièces, circuit interne.",À compléter : ce qui diffère des autres CPAS.,À compléter,,
Démarches CPAS,Aide Médicale Urgente (AMU) — CPAS de Molenbeek-Saint-Jean,Aide Médicale Urgente (AMU),Molenbeek-Saint-Jean,,,,,,,,,À compléter.,"À compléter : attestation du médecin, pièces, circuit interne.",À compléter : ce qui diffère des autres CPAS.,À compléter,,
Démarches CPAS,Carte médicale — Tous CPAS — trame générale,Carte médicale,Régional / Toutes communes,,,,,,,,,À compléter par CPAS.,"À compléter : conditions, durée de validité, renouvellement.",Les conditions et la durée varient d'un CPAS à l'autre : dupliquer cette fiche par commune.,À compléter,,
Démarches CPAS,Réquisitoire — CPAS d'Anderlecht,Réquisitoire,Anderlecht,,,,,,,,,À envoyer à l'antenne sociale dont dépend la personne — pas à l'adresse générale. (Liste des antennes et de leurs mails à compléter.),"À compléter : formulaire utilisé, pièces à joindre, qui signe.",Anderlecht fonctionne par antennes sociales : un envoi à une adresse unique ne passe pas. Vérifier de quelle antenne dépend la personne selon son adresse.,À compléter,,
Démarches CPAS,Réquisitoire — CPAS de la Ville de Bruxelles,Réquisitoire,Bruxelles-Ville,,,,,,,,,Une seule adresse mail centralisée pour toutes les demandes. (Adresse à compléter.),"À compléter : formulaire utilisé, pièces à joindre.","Contrairement à Anderlecht, pas d'envoi par antenne : tout passe par l'adresse unique.",À compléter,,
Démarches CPAS,Réquisitoire — CPAS de Molenbeek-Saint-Jean,Réquisitoire,Molenbeek-Saint-Jean,,,,,,,,,À compléter.,"À compléter : formulaire utilisé, pièces à joindre.","Molenbeek a sa propre procédure, différente d'Anderlecht et de la Ville de Bruxelles — à documenter précisément.",À compléter,,
Démarches CPAS,RIS (revenu d'intégration) — Tous CPAS — trame générale,RIS (revenu d'intégration),Régional / Toutes communes,,,,,,,,,CPAS de la commune de résidence.,"À compléter : pièces, prise de rendez-vous, enquête sociale.",Délais et modalités de rendez-vous très variables selon les communes.,À compléter,,
Éducatif,AMO – Aide en Milieu Ouvert,,Régional / Toutes communes,"Aide sociale et éducative aux jeunes et familles, dans leur milieu de vie.",Jeunes (0–18/22) et familles,,,,,,,,,,,,Une AMO par zone : ajouter celle(s) de votre secteur.
Éducatif,Coordination des Écoles de Devoirs de Bruxelles,,Régional / Toutes communes,Répertoire des écoles de devoirs : soutien scolaire et accompagnement.,"Enfants, jeunes, parents",,,,cedb.be,,,,,,,,Pour trouver l'école de devoirs d'un quartier.
